"01180: Kommunestyrevalget. Godkjente stemmer, etter region, politisk parti, statistikkvariabel og fireårlig"

"region";"politisk parti";"Godkjente stemmer 2023"
"3101 Halden";"Arbeiderpartiet";3001
"3101 Halden";"Fremskrittspartiet";1051
"3101 Halden";"Høyre";4043
"3101 Halden";"Kristelig Folkeparti";516
"3101 Halden";"Miljøpartiet de Grønne";554
"3101 Halden";"Rødt";821
"3101 Halden";"Senterpartiet";815
"3101 Halden";"Sosialistisk Venstreparti";697
"3101 Halden";"Venstre";194
"3101 Halden";"Abort-motstandernes liste";0
"3101 Halden";"Anders Langes parti (1973)";0
"3101 Halden";"Barn/Eldre";0
"3101 Halden";"Bondepartiet (-1959)";0
"3101 Halden";"Demokratene i Norge";0
"3101 Halden";"Det Liberale Folkepartiet";0
"3101 Halden";"Det nye Folkepartiet (1973-1977)";0
"3101 Halden";"Det Politiske Parti";0
"3101 Halden";"Ensliges parti";0
"3101 Halden";"Fedrelandspartiet";0
"3101 Halden";"Felles framtid";0
"3101 Halden";"Folkeaksjonen Fremtid for Finnmark";0
"3101 Halden";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3101 Halden";"Folkemakten";0
"3101 Halden";"Frie Folkevalgte";0
"3101 Halden";"Frihetspartiet";0
"3101 Halden";"Fylkeslistene for miljø og solidaritet";0
"3101 Halden";"Hjelp fremmedkulturelle hjem ellers ...";0
"3101 Halden";"Hvit Valgallianse";0
"3101 Halden";"Kristent konservativt parti";0
"3101 Halden";"Kristent Samlingsparti";0
"3101 Halden";"Kvinnenes frie folkevalgte";0
"3101 Halden";"Kystpartiet";0
"3101 Halden";"Naturlovpartiet";0
"3101 Halden";"Norges demokratiske parti";0
"3101 Halden";"Norges Kommunistiske Parti";0
"3101 Halden";"Norsk Folkeparti";0
"3101 Halden";"Norsk Sosialdemokratisk parti";0
"3101 Halden";"Partiet De Kristne";0
"3101 Halden";"Pensjonistpartiet";1439
"3101 Halden";"Piratpartiet";0
"3101 Halden";"Rettferdighetspartiet";0
"3101 Halden";"Rød valgallianse (1973-2007)";0
"3101 Halden";"Samefolkets liste";0
"3101 Halden";"Samfunnspartiet";0
"3101 Halden";"Samlingspartiet (Ny Fremtid)";0
"3101 Halden";"Sogn og Fjordane fisker- og småbrukerparti";0
"3101 Halden";"Sosialdemokratene";0
"3101 Halden";"Sosialistisk Folkeparti (1961-1969)";0
"3101 Halden";"Sosialistisk Valgforbund (1973)";0
"3101 Halden";"Stopp Innvandringen";0
"3101 Halden";"Sykehus til Alta";0
"3101 Halden";"Tverrpolitisk kyst og distriktsparti";0
"3101 Halden";"Felleslister";0
"3101 Halden";"Fellesliste Venstre";0
"3101 Halden";"Fellesliste Bondepartiet";0
"3101 Halden";"Fellesliste Kristelig folkeparti";0
"3101 Halden";"Fellesliste Høyre";0
"3101 Halden";"Fellesliste Senterpartiet";0
"3101 Halden";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3101 Halden";"Fellesliste Det nye Folkepartiet";0
"3101 Halden";"Borgerlige felleslister";0
"3101 Halden";"Lokale lister";0
"3101 Halden";"Andre lister";1667
"3103 Moss";"Arbeiderpartiet";5745
"3103 Moss";"Fremskrittspartiet";3217
"3103 Moss";"Høyre";6327
"3103 Moss";"Kristelig Folkeparti";501
"3103 Moss";"Miljøpartiet de Grønne";879
"3103 Moss";"Rødt";1245
"3103 Moss";"Senterpartiet";591
"3103 Moss";"Sosialistisk Venstreparti";1327
"3103 Moss";"Venstre";913
"3103 Moss";"Abort-motstandernes liste";0
"3103 Moss";"Anders Langes parti (1973)";0
"3103 Moss";"Barn/Eldre";0
"3103 Moss";"Bondepartiet (-1959)";0
"3103 Moss";"Demokratene i Norge";0
"3103 Moss";"Det Liberale Folkepartiet";0
"3103 Moss";"Det nye Folkepartiet (1973-1977)";0
"3103 Moss";"Det Politiske Parti";0
"3103 Moss";"Ensliges parti";0
"3103 Moss";"Fedrelandspartiet";0
"3103 Moss";"Felles framtid";0
"3103 Moss";"Folkeaksjonen Fremtid for Finnmark";0
"3103 Moss";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3103 Moss";"Folkemakten";0
"3103 Moss";"Frie Folkevalgte";0
"3103 Moss";"Frihetspartiet";0
"3103 Moss";"Fylkeslistene for miljø og solidaritet";0
"3103 Moss";"Hjelp fremmedkulturelle hjem ellers ...";0
"3103 Moss";"Hvit Valgallianse";0
"3103 Moss";"Kristent konservativt parti";0
"3103 Moss";"Kristent Samlingsparti";0
"3103 Moss";"Kvinnenes frie folkevalgte";0
"3103 Moss";"Kystpartiet";0
"3103 Moss";"Naturlovpartiet";0
"3103 Moss";"Norges demokratiske parti";0
"3103 Moss";"Norges Kommunistiske Parti";0
"3103 Moss";"Norsk Folkeparti";0
"3103 Moss";"Norsk Sosialdemokratisk parti";0
"3103 Moss";"Partiet De Kristne";0
"3103 Moss";"Pensjonistpartiet";544
"3103 Moss";"Piratpartiet";0
"3103 Moss";"Rettferdighetspartiet";0
"3103 Moss";"Rød valgallianse (1973-2007)";0
"3103 Moss";"Samefolkets liste";0
"3103 Moss";"Samfunnspartiet";0
"3103 Moss";"Samlingspartiet (Ny Fremtid)";0
"3103 Moss";"Sogn og Fjordane fisker- og småbrukerparti";0
"3103 Moss";"Sosialdemokratene";0
"3103 Moss";"Sosialistisk Folkeparti (1961-1969)";0
"3103 Moss";"Sosialistisk Valgforbund (1973)";0
"3103 Moss";"Stopp Innvandringen";0
"3103 Moss";"Sykehus til Alta";0
"3103 Moss";"Tverrpolitisk kyst og distriktsparti";0
"3103 Moss";"Felleslister";0
"3103 Moss";"Fellesliste Venstre";0
"3103 Moss";"Fellesliste Bondepartiet";0
"3103 Moss";"Fellesliste Kristelig folkeparti";0
"3103 Moss";"Fellesliste Høyre";0
"3103 Moss";"Fellesliste Senterpartiet";0
"3103 Moss";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3103 Moss";"Fellesliste Det nye Folkepartiet";0
"3103 Moss";"Borgerlige felleslister";0
"3103 Moss";"Lokale lister";1812
"3103 Moss";"Andre lister";831
"3105 Sarpsborg";"Arbeiderpartiet";6988
"3105 Sarpsborg";"Fremskrittspartiet";3986
"3105 Sarpsborg";"Høyre";6686
"3105 Sarpsborg";"Kristelig Folkeparti";986
"3105 Sarpsborg";"Miljøpartiet de Grønne";595
"3105 Sarpsborg";"Rødt";930
"3105 Sarpsborg";"Senterpartiet";911
"3105 Sarpsborg";"Sosialistisk Venstreparti";852
"3105 Sarpsborg";"Venstre";365
"3105 Sarpsborg";"Abort-motstandernes liste";0
"3105 Sarpsborg";"Anders Langes parti (1973)";0
"3105 Sarpsborg";"Barn/Eldre";0
"3105 Sarpsborg";"Bondepartiet (-1959)";0
"3105 Sarpsborg";"Demokratene i Norge";0
"3105 Sarpsborg";"Det Liberale Folkepartiet";0
"3105 Sarpsborg";"Det nye Folkepartiet (1973-1977)";0
"3105 Sarpsborg";"Det Politiske Parti";0
"3105 Sarpsborg";"Ensliges parti";0
"3105 Sarpsborg";"Fedrelandspartiet";0
"3105 Sarpsborg";"Felles framtid";0
"3105 Sarpsborg";"Folkeaksjonen Fremtid for Finnmark";0
"3105 Sarpsborg";"Folkeliste mot oljeboring i Lofoten, Vesterålen og Senja";0
"3105 Sarpsborg";"Folkemakten";0
"3105 Sarpsborg";"Frie Folkevalgte";0
"3105 Sarpsborg";"Frihetspartiet";0
"3105 Sarpsborg";"Fylkeslistene for miljø og solidaritet";0
"3105 Sarpsborg";"Hjelp fremmedkulturelle hjem ellers ...";0
"3105 Sarpsborg";"Hvit Valgallianse";0
"3105 Sarpsborg";"Kristent konservativt parti";0
"3105 Sarpsborg";"Kristent Samlingsparti";0
"3105 Sarpsborg";"Kvinnenes frie folkevalgte";0
"3105 Sarpsborg";"Kystpartiet";0
"3105 Sarpsborg";"Naturlovpartiet";0
"3105 Sarpsborg";"Norges demokratiske parti";0
"3105 Sarpsborg";"Norges Kommunistiske Parti";0
"3105 Sarpsborg";"Norsk Folkeparti";0
"3105 Sarpsborg";"Norsk Sosialdemokratisk parti";0
"3105 Sarpsborg";"Partiet De Kristne";0
"3105 Sarpsborg";"Pensjonistpartiet";976
"3105 Sarpsborg";"Piratpartiet";0
"3105 Sarpsborg";"Rettferdighetspartiet";0
"3105 Sarpsborg";"Rød valgallianse (1973-2007)";0
"3105 Sarpsborg";"Samefolkets liste";0
"3105 Sarpsborg";"Samfunnspartiet";0
"3105 Sarpsborg";"Samlingspartiet (Ny Fremtid)";0
"3105 Sarpsborg";"Sogn og Fjordane fisker- og småbrukerparti";0
"3105 Sarpsborg";"Sosialdemokratene";0
"3105 Sarpsborg";"Sosialistisk Folkeparti (1961-1969)";0
"3105 Sarpsborg";"Sosialistisk Valgforbund (1973)";0
"3105 Sarpsborg";"Stopp Innvandringen";0
"3105 Sarpsborg";"Sykehus til Alta";0
"3105 Sarpsborg";"Tverrpolitisk kyst og distriktsparti";0
"3105 Sarpsborg";"Felleslister";0
"3105 Sarpsborg";"Fellesliste Venstre";0
"3105 Sarpsborg";"Fellesliste Bondepartiet";0
"3105 Sarpsborg";"Fellesliste Kristelig folkeparti";0
"3105 Sarpsborg";"Fellesliste Høyre";0
"3105 Sarpsborg";"Fellesliste Senterpartiet";0
"3105 Sarpsborg";"Fellesliste Norges Kommunistiske Parti og Sosialistisk Folkeparti";0
"3105 Sarpsborg";"Fellesliste Det nye Folkepartiet";0
"3105 Sarpsborg";"Borgerlige felleslister";0
"3105 Sarpsborg";"Lokale lister";566
"3105 Sarpsborg";"Andre lister";1449
"3107 Fredrikstad";"Arbeiderpartiet";9693
"3107 Fredrikstad";"Fremskrittspartiet";5725
