"","country","region","population_kaggle","area","pop_dens","coastline","net_migration","infant_mortality","gdp_kaggle","literacy","phones","arable","crops","climate","birthrate","deathrate","agriculture","industry","service","code","mismanaged","coastal_pop","population","per_capita_plastic_waste","gdp","per_capita_mismanaged"
"1","Afghanistan","ASIA (EX. NEAR EAST)",31056997,647500,48,0,23.06,16307,700,36,3.2,12.13,0.22,"1",466,2034,0.38,0.24,0.38,"AFG",NA,NA,31411743,NA,1614.25500126115,NA
"2","Albania","EASTERN EUROPE",3581655,28748,124.6,1.26,-4.93,2152,4500,86.5,71.2,21.09,4.42,"3",1511,522,0.232,0.188,0.579,"ALB",29705,2530533,3204284,0.069,9927.18184117512,0.032
"3","Algeria","NORTHERN AFRICA",32930091,2381740,13.8,0.04,-0.39,31,6000,70,78.1,3.22,0.25,"1",1714,461,0.101,0.6,0.298,"DZA",520555,16556580,35468208,0.144,12870.6026985154,0.086
"4","American Samoa","OCEANIA",57794,199,290.4,58.29,-20.71,927,8000,97,259.5,10,15,"2",2246,327,NA,NA,NA,"ASM",NA,NA,68420,NA,NA,NA
"5","Andorra","WESTERN EUROPE",71201,468,152.1,0,6.6,405,19000,100,497.2,2.22,0,"3",871,625,NA,NA,NA,"AND",NA,NA,84864,NA,NA,NA
"6","Angola","SUB-SAHARAN AFRICA",12127071,1246700,9.7,0.13,0,19119,1900,42,7.8,2.41,0.24,NA,4511,242,0.096,0.658,0.246,"AGO",62528,3790041,19081912,0.062,5897.68284059848,0.045
"7","Anguilla","LATIN AMER. & CARIB",13477,102,132.1,59.8,10.76,2103,8600,95,460,0,0,"2",1417,534,0.04,0.18,0.78,"AIA",52,14561,15358,0.252,NA,0.01
"8","Antigua and Barbuda","LATIN AMER. & CARIB",69108,443,156,34.54,-6.15,1946,11000,89,549.9,18.18,4.55,"2",1693,537,0.038,0.22,0.743,"ATG",1253,66843,88710,0.66,19212.7201307541,0.051
"9","Argentina","LATIN AMER. & CARIB",39921833,2766890,14.4,0.18,0.61,1518,11200,97.1,220.4,12.31,0.48,"3",1673,755,0.095,0.358,0.547,"ARG",157777,16449245,40412376,0.183,18712.0630773436,0.026
"10","Armenia","C.W. OF IND. STATES",2976372,29800,99.9,0,-6.47,2328,3500,98.6,195.7,17.55,2.3,"4",1207,823,0.239,0.343,0.418,"ARM",NA,NA,3092072,NA,6702.84800627941,NA
"11","Aruba","LATIN AMER. & CARIB",71891,193,372.5,35.49,0,589,28000,97,516.1,10.53,0,"2",1103,668,0.004,0.333,0.663,"ABW",372,137910,107488,0.252,NA,0.007
"12","Australia","OCEANIA",20264082,7686850,2.6,0.34,3.98,469,29000,100,565.5,6.55,0.04,"1",1214,751,0.038,0.262,0.7,"AUS",13889,17235954,22268384,0.112,41464.0400696359,0.002
"13","Austria","WESTERN EUROPE",8192880,83870,97.7,0,2,466,30000,98,452.2,16.91,0.86,"3",874,976,0.018,0.304,0.678,"AUT",NA,NA,8393644,NA,43336.1978527647,NA
"14","Azerbaijan","C.W. OF IND. STATES",7961619,86600,91.9,0,-4.9,8174,3400,97,137.1,19.63,2.71,"1",2074,975,0.141,0.457,0.402,"AZE",NA,NA,9187783,NA,15950.2574578783,NA
"15","Bahamas","LATIN AMER. & CARIB",303770,13940,21.8,25.41,-2.2,2521,16700,95.6,460.6,0.8,0.4,"2",1757,905,0.03,0.07,0.9,"BHS",1333,341145,342877,0.39,29221.9911816149,0.011
"16","Bahrain","NEAR EAST",698585,665,1050.5,24.21,1.05,1727,16900,89.1,281.3,2.82,5.63,"1",178,414,0.005,0.387,0.608,"BHR",4376,743574,1261835,0.132,40570.5356928307,0.016
"17","Bangladesh","ASIA (EX. NEAR EAST)",147365352,144000,1023.4,0.4,-0.71,626,1900,43.1,7.3,62.11,3.07,"2",298,827,0.199,0.198,0.603,"BGD",787327,70874124,148692131,0.034,2442.72888765696,0.03
"18","Barbados","LATIN AMER. & CARIB",279912,431,649.5,22.51,-0.31,125,15700,97.4,481.9,37.21,2.33,"2",1271,867,0.06,0.16,0.78,"BRB",3483,276784,273331,0.57,16417.9624523108,0.034
"19","Belarus","C.W. OF IND. STATES",10293011,207600,49.6,0,2.54,1337,6100,99.6,319.1,29.55,0.6,"4",1116,1402,0.093,0.316,0.591,"BLR",NA,NA,9595421,NA,16235.1714534334,NA
"20","Belgium","WESTERN EUROPE",10379067,30528,340,0.22,1.23,468,29100,98,462.6,23.28,0.4,"3",1038,1027,0.01,0.24,0.749,"BEL",2743,4747957,10712066,0.08,41085.9189401366,0.002
"21","Belize","LATIN AMER. & CARIB",287730,22966,12.5,1.68,0,2569,4900,94.1,115.7,2.85,1.71,"2",2884,572,0.142,0.152,0.612,"BLZ",3892,202429,311627,0.172,7876.80958597644,0.053
"22","Benin","SUB-SAHARAN AFRICA",7862944,112620,69.8,0.11,0,85,1100,40.9,9.7,18.08,2.4,"2",3885,1222,0.316,0.138,0.546,"BEN",43015,3235418,8849892,0.043,1818.77846075906,0.036
"23","Bermuda","NORTHERN AMERICA",65773,53,1241,194.34,2.49,853,36000,98,851.4,20,0,"2",114,774,0.01,0.1,0.89,"BMU",123,66966,64941,0.252,56395.0078003539,0.005
"24","Bhutan","ASIA (EX. NEAR EAST)",2279723,47000,48.5,0,0,10044,1300,42.2,14.3,3.09,0.43,"2",3365,127,0.258,0.379,0.363,"BTN",NA,NA,725940,NA,6419.67559908811,NA
"25","Bolivia","LATIN AMER. & CARIB",8989046,1098580,8.2,0,-1.32,5311,2400,87.2,71.9,2.67,0.19,"15",233,753,0.128,0.352,0.52,"BOL",NA,NA,9929849,NA,5407.47022023569,NA
"26","Bosnia and Herzegovina","EASTERN EUROPE",4498976,51129,88,0.04,0.31,2105,6100,NA,215.4,13.6,2.96,"4",877,827,0.142,0.308,0.55,"BIH",12955,585582,3760149,0.144,9720.34217718095,0.061
"27","Botswana","SUB-SAHARAN AFRICA",1639833,600370,2.7,0,0,5458,9000,79.8,80.5,0.65,0.01,"1",2308,295,0.024,0.469,0.507,"BWA",NA,NA,2006945,NA,13334.1987970857,NA
"28","Brazil","LATIN AMER. & CARIB",188078227,8511965,22.1,0.09,-0.03,2961,7600,86.4,225.3,6.96,0.9,"2",1656,617,0.084,0.4,0.516,"BRA",471404,74696771,194946470,0.165,14537.5671930903,0.017
"29","British Virgin Islands","LATIN AMER. & CARIB",23098,153,151,52.29,10.01,1805,16000,97.8,506.5,20,6.67,"2",1489,442,0.018,0.062,0.92,"VGB",55,29674,23245,0.252,NA,0.005
"30","Brunei","ASIA (EX. NEAR EAST)",379444,5770,65.8,2.79,3.59,1261,18600,93.9,237.2,0.57,0.76,"2",1879,345,0.036,0.561,0.403,"BRN",93,359871,398920,0.026,80552.8644713138,0.001
"31","Bulgaria","EASTERN EUROPE",7385367,110910,66.6,0.32,-4.58,2055,7600,98.6,336.3,40.02,1.92,"3",965,1427,0.093,0.304,0.603,"BGR",18739,1002695,7494332,0.154,15283.2914751664,0.051
"32","Burkina Faso","SUB-SAHARAN AFRICA",13902972,274200,50.7,0,0,9757,1100,26.6,7,14.43,0.19,"2",4562,156,0.322,0.196,0.482,"BFA",NA,NA,16468714,NA,1423.37770598198,NA
"33","Myanmar","ASIA (EX. NEAR EAST)",47382633,678500,69.8,0.28,-1.8,6724,1800,85.3,10.1,15.19,0.97,"2",1791,983,0.564,0.082,0.353,"MMR",458269,18988522,47963012,0.075,3721.21144009279,0.066
"34","Burundi","SUB-SAHARAN AFRICA",8090068,27830,290.7,0,-0.06,6929,600,51.6,3.4,35.05,14.02,"2",4222,1346,0.463,0.203,0.334,"BDI",NA,NA,8382849,NA,763.831930213843,NA
"35","Cambodia","ASIA (EX. NEAR EAST)",13881427,181040,76.7,0.24,0,7148,1900,69.4,2.6,20.96,0.61,"2",269,906,0.35,0.3,0.35,"KHM",29686,1391254,14138255,0.066,2522.92682475402,0.058
"36","Cameroon","SUB-SAHARAN AFRICA",17340702,475440,36.5,0.08,0,6826,1800,79,5.7,12.81,2.58,"15",3389,1347,0.448,0.17,0.382,"CMR",27713,1986723,19598889,0.046,2929.82911281962,0.038
"37","Canada","NORTHERN AMERICA",33098932,9984670,3.3,2.02,5.96,475,29800,97,552.2,4.96,0.02,NA,1078,78,0.022,0.294,0.684,"CAN",7959,11846863,34016593,0.093,40699.3551293841,0.002
"38","Cape Verde","SUB-SAHARAN AFRICA",420979,4033,104.4,23.93,-12.07,4777,1400,76.6,169.6,9.68,0.5,"3",2487,655,0.121,0.219,0.66,"CPV",9347,522245,495999,0.065,5828.24158804338,0.049
"39","Cayman Islands","LATIN AMER. & CARIB",45436,262,173.4,61.07,18.75,819,35000,98,836.3,3.85,0,"2",1274,489,0.014,0.032,0.954,"CYM",95,51864,56230,0.252,NA,0.005
